genome	secondary_cluster	overall_strategy	M00001	M00002	M00003	M00004	M00005	M00006	M00007	M00008	M00009	M00010	M00011	M00012	M00013	M00014	M00015	M00016	M00017	M00018	M00019	M00020	M00021	M00022	M00023	M00024	M00025	M00026	M00027	M00028	M00029	M00030	M00031	M00032	M00033	M00034	M00035	M00036	M00037	M00038	M00039	M00040	M00042	M00043	M00044	M00045	M00046	M00047	M00048	M00049	M00050	M00051	M00052	M00053	M00055	M00056	M00057	M00058	M00059	M00060	M00061	M00063	M00064	M00065	M00066	M00067	M00068	M00069	M00070	M00071	M00072	M00073	M00074	M00075	M00076	M00077	M00078	M00079	M00081	M00082	M00083	M00085	M00086	M00087	M00088	M00089	M00090	M00091	M00092	M00093	M00094	M00095	M00096	M00097	M00098	M00099	M00100	M00101	M00102	M00103	M00104	M00106	M00107	M00108	M00109	M00110	M00112	M00113	M00114	M00115	M00116	M00117	M00118	M00119	M00120	M00121	M00122	M00123	M00124	M00125	M00126	M00127	M00128	M00129	M00130	M00131	M00132	M00133	M00134	M00135	M00136	M00137	M00138	M00140	M00141	M00142	M00143	M00147	M00161	M00162	M00163	M00165	M00166	M00167	M00168	M00169	M00170	M00171	M00172	M00173	M00174	M00175	M00176	M00177	M00178	M00179	M00180	M00181	M00182	M00183	M00184	M00260	M00261	M00262	M00263	M00264	M00293	M00294	M00307	M00308	M00309	M00338	M00344	M00345	M00346	M00356	M00357	M00358	M00363	M00364	M00365	M00366	M00367	M00368	M00369	M00370	M00371	M00372	M00373	M00374	M00375	M00376	M00377	M00378	M00415	M00418	M00419	M00422	M00432	M00433	M00525	M00526	M00527	M00528	M00529	M00530	M00531	M00532	M00533	M00534	M00535	M00537	M00538	M00539	M00540	M00541	M00542	M00543	M00544	M00545	M00546	M00547	M00548	M00549	M00550	M00551	M00552	M00554	M00555	M00563	M00564	M00565	M00567	M00568	M00569	M00570	M00572	M00573	M00574	M00575	M00576	M00577	M00579	M00580	M00595	M00596	M00597	M00598	M00608	M00609	M00615	M00620	M00622	M00624	M00625	M00627	M00630	M00631	M00632	M00633	M00636	M00637	M00638	M00639	M00641	M00642	M00643	M00649	M00651	M00652	M00660	M00661	M00664	M00672	M00673	M00674	M00675	M00696	M00697	M00698	M00700	M00702	M00704	M00705	M00714	M00718	M00725	M00726	M00730	M00736	M00740	M00741	M00744	M00745	M00746	M00761	M00763	M00769	M00773	M00774	M00775	M00776	M00777	M00778	M00779	M00780	M00781	M00782	M00783	M00784	M00785	M00786	M00787	M00788	M00789	M00790	M00793	M00794	M00795	M00796	M00797	M00798	M00799	M00800	M00801	M00802	M00803	M00804	M00805	M00808	M00810	M00811	M00814	M00815	M00819	M00823	M00824	M00825	M00826	M00827	M00828	M00829	M00830	M00831	M00832	M00833	M00834	M00835	M00836	M00837	M00838	M00840	M00841	M00842	M00843	M00844	M00845	M00846	M00847	M00848	M00849	M00850	M00851	M00852	M00853	M00854	M00855	M00856	M00857	M00859	M00860	M00861	M00862	M00866	M00867	M00868	M00872	M00873	M00874	M00875	M00876	M00877
cobinning_long_C11F4OP_subsam_contigs.fasta_bin.6	99_1	cobinning_longitudinal	0.7777777777777778	0.6	0.7142857142857143	0.7142857142857143	1	0.5	0.75	0.5	0.375	0.3333333333333333	0.4	0	0	0.375	1	0.3333333333333333	0.2857142857142857	0.2	1	0	1	1	0.3333333333333333	0.5	0.5	0.8333333333333334	0	0.75	0.6	0	0	0	0	0.25	0.25	0.16666666666666666	0	0	0	0	0	0	0	0	0.3333333333333333	0	0.625	0.75	0.5	1	0.3333333333333333	0.375	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	0	0	0	0	0.5	0	0	0	0.3333333333333333	0	0.2857142857142857	0.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2857142857142857	0.2	0	0	0	0	0.6666666666666666	0.5	1	0.3333333333333333	0	0	0.6	0	0	0.14285714285714285	0	0	0	0	0	0	0	0	0	0.3333333333333333	0.5	0	0	0	0	0	0	0.6363636363636364	0.5	0.7142857142857143	0	0	0	0	0	0.2	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0.75	0.3333333333333333	0	0.25	0.6666666666666666	0.3333333333333333	0	0.4	0	0	0.5	0.5	0.25	0.3333333333333333	0.3333333333333333	0	0	0	0	0	0.15384615384615383	0.07142857142857142	0	0.5714285714285714	0	0	0	0	0.5	1	0	0.3333333333333333	0.3333333333333333	0.42857142857142855	0	0	0	0	1	0	0	0.6666666666666666	0	0	0	0	0	0	0	0	0	0	0	0	0.6666666666666666	0.6	0	0.4	0.5	0	0	0	0.5	0.125	0	0	1	0.5	0.2	0	0	0	0.2	1	0	0	0	0	0	0	0.3333333333333333	0	0.2857142857142857	0	0	0	0.6666666666666666	0	0.8	0.5	0	0	0	0	0	0	0	0	0	0.5	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14285714285714285	0.16666666666666666	0	0	1	0.42857142857142855	0.7142857142857143	0	0.125	0.3333333333333333	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0.125	0	0.3333333333333333	0.5	0	0	0
cobinning_long_C11F5CR_subsam_contigs.fasta_bin.13	78_2	cobinning_longitudinal	1	1	1	0.7142857142857143	1	0	1	0.25	0.625	0.6666666666666666	0.6	0	0.2	0.25	0.5	0.8888888888888888	0.42857142857142855	0.6	1	0.3333333333333333	1	1	1	0.5	0.5	0.8333333333333334	0	1	0.6	0	0	0.16666666666666666	0.4	0.25	0.25	0.3333333333333333	0	0	0.1	0	0	0	0	0	0.6666666666666666	0	0.875	1	1	1	0.6666666666666666	0.25	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	1	1	0	0	0	1	0.5	0	0	0	0.3333333333333333	0	0.14285714285714285	0.875	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14285714285714285	0.8	0	0	0	0	1	0.5	1	0.3333333333333333	0.16666666666666666	1	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0.3333333333333333	0.5	0	0	0	0	0	0	0.6363636363636364	0.5	0.7142857142857143	0	0.5	0.25	0.14285714285714285	0.25	0.5	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0.75	0	0	0.25	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.4	0	0	0	0	0	0	0.3333333333333333	0	0	0	0	0	0.2307692307692308	0.07142857142857142	0	0.14285714285714285	0	0	0	0	0	1	0	0.6666666666666666	1	1	0	0	0	0	1	0	0	0.6666666666666666	0	0	0	0	0	0	0	0	0	0.4	0	0	0.6666666666666666	0.2	0	0.4	0.5	0	0.5	0	0.5	0.125	0	0	1	0.3333333333333333	0.2	0	0	0	0.2	1	0	0	0	0	0	0	0.5	0	0.2857142857142857	0	0	0	0.6666666666666666	0	0.4	0.75	0	0	0	0	0	0	0	0	0	1	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.09090909090909093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14285714285714285	0.5	0.3333333333333333	0.3333333333333333	1	0.7142857142857143	0.5714285714285714	0	0.125	0.16666666666666666	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0.375	0	0	0.16666666666666666	0	0	0
cobinning_long_C11F5CR_subsam_contigs.fasta_bin.27	33_2	cobinning_longitudinal	1	1	0.8571428571428571	0.7142857142857143	1	0	1	0	0.375	0.3333333333333333	0.4	0	0.2	0.125	1	0.7777777777777778	0.7142857142857143	1	0.75	0.6666666666666666	1	1	0.6666666666666666	0.5	0.5	1	0	1	0.6	0	0	0	0.4	0.375	0.5	0.16666666666666666	0	0	0.1	0	0	0	0	0	0	0	1	1	1	1	0.6666666666666666	0.375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0.3333333333333333	0	0.5	0	0	0	0.3333333333333333	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14285714285714285	0.4	0	0	0	0	1	0.6	1	0	0.16666666666666666	1	0.6	0.5	0	0	0	0	0	0	0	0	0	0	0	0.6666666666666666	0	0	0	0	0	0	0	0.7272727272727273	0.5	0.8571428571428571	0	0.5	0	0.14285714285714285	0.25	0.4	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0.25	0	0	0.25	0.6666666666666666	0.1111111111111111	0	0.2	0.25	0	0.5	0	0.25	0	0.3333333333333333	0	0	0	0	0	0.07692307692307693	0	0	0.42857142857142855	0	0	0	0	0	1	0	0.6666666666666666	1	0.8571428571428571	0	0	0	0	0	0	0	0.6666666666666666	0	0	0	0	0	0	0	0	0	0	0	0	0.6666666666666666	0.2	0	0.4	0.5	0	0	0	0.5	0	0	0	0.8	0.5	0	0	0	0	0	1	0	0	0	0	0	0	0.5	0	0.2857142857142857	0	0	0	0.6666666666666666	0	0	0.75	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14285714285714285	0	0	0	0.2857142857142857	0.16666666666666666	0	0	1	0.5714285714285714	0.7142857142857143	0	0.125	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0.25	0	0.3333333333333333	0.5	0	0	0
cobinning_long_C11F5HT_subsam_contigs.fasta_bin.14	148_15	cobinning_longitudinal	0.7777777777777778	1	0.8571428571428571	0.2857142857142857	1	0	0.5	0	0	0	0	0	0.2	0.125	1	0.5555555555555556	0.5714285714285714	1	0.75	0.6666666666666666	1	0.5	0	0.5	0.5	1	0	1	0.4	0	0	0	0.4	0	0.25	0.3333333333333333	0	0	0	0	0	0	0	1	0	0	0.75	1	0.75	1	0	0.375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0.25	0	0	0	0	0	0.14285714285714285	0.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0.6666666666666666	0.1	0	0	0.16666666666666666	0.3333333333333333	0.6	0	0	0	0	0	0	0	0	0.3333333333333333	0	0	0	0.3333333333333333	0	0	0	0	0	0	0	0.4545454545454546	0.25	0.5714285714285714	0	0	0.25	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0.25	0	0	0.25	0.3333333333333333	0.1111111111111111	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0.07692307692307693	0.07142857142857142	0	0.14285714285714285	0.5	0	0	0	0	1	0	0.4444444444444444	0.5	0.7142857142857143	0	0	0	0	0	0	0	0.6666666666666666	0	0	0	0	0	0	0	0	0	0	0	0	0.6666666666666666	0	0	0.2	0	0	0	0	0.5	0.125	0	0	0.8	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.6666666666666666	0	0	0.25	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14285714285714285	0.16666666666666666	0	0	0.6666666666666666	0.42857142857142855	0.14285714285714285	0	0.125	0.16666666666666666	0	0	0	0	1	1	0	0	0	0.2857142857142857	0	0	0	0	0	0	0.3333333333333333	0.5	0	0	0
cobinning_long_C11F5HT_subsam_contigs.fasta_bin.3	123_1	cobinning_longitudinal	1	1	1	0.7142857142857143	1	0.5	0.75	0.25	0.375	0.6666666666666666	0.2	0	0.2	0.25	1	0.6666666666666666	0.42857142857142855	0.6	1	0.3333333333333333	1	1	1	0.5	0.5	0.6666666666666666	0	1	0.6	0.125	0	0.16666666666666666	0.2	0.5	0.5	0.16666666666666666	0	0.14285714285714285	0.1	0	0	0	0	0	0	0	1	1	0.75	1	0.6666666666666666	0.25	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0.5	1	0	0	0	0	0.5	0	0	0	0.3333333333333333	0	0.2857142857142857	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2857142857142857	0.4	0	0	0	0	0.6666666666666666	0.2	0	0.3333333333333333	0.16666666666666666	0.3333333333333333	0.6	0.5	0	0.14285714285714285	0	0.25	0	1	0	0	0	0	0	1	0.5	0	0	0	0	0	0	0.6363636363636364	0.5	0.7142857142857143	0	0.5	0.25	0.14285714285714285	0.25	0.4	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0.25	0	0	0.25	0.6666666666666666	0.2222222222222222	0	0.2	0	0	0.5	0.5	0.25	0.3333333333333333	0.3333333333333333	0	0	0	0	0	0.2307692307692308	0.07142857142857142	0	0.42857142857142855	0	0	0	0	0	1	0	0.5555555555555556	0.8333333333333334	0.8571428571428571	0	0	0	0	0	0	0	0.6666666666666666	0	0	0	0	0	0	0	0	0.16666666666666666	0	0	0	0.6666666666666666	0.2	0	0.4	0.5	0	0	0	0.5	0	0	0.4	1	0.5	0.2	0	0	0	0.2	1	0	0	0	0	0	0	0.5	0	0.2857142857142857	0	0	0	0.6666666666666666	0	0	0.75	0	0	0	0	0	0	0	0	0	1	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.09090909090909093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14285714285714285	0.16666666666666666	0	0	1	0.5714285714285714	0.2857142857142857	0	0.125	0.3333333333333333	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0.3333333333333333	0.5	0	0	0
cobinning_long_C11F5HT_subsam_contigs.fasta_bin.4	157_1	cobinning_longitudinal	0.6666666666666666	0.6	0.8571428571428571	0.8571428571428571	1	1	0.75	0.5	0.375	0.3333333333333333	0.4	0	0	0.125	1	0.7777777777777778	0.7142857142857143	0.8	1	0.6666666666666666	1	1	0.3333333333333333	0.5	0.5	1	0	1	0.6	0	0	0.16666666666666666	0.4	0.25	0.5	0.3333333333333333	0	0	0	0	0	0	0	0	0.3333333333333333	0	1	0.5	0.75	1	0.6666666666666666	0.5	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	1	0	0	0	0	0.25	0	0	0	0.6666666666666666	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14285714285714285	0.4	0	0	0	0	0.6666666666666666	0.6	1	0	0.16666666666666666	0.3333333333333333	0.4	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6363636363636364	0.5	0.7142857142857143	0	0.5	0.25	0.14285714285714285	0.25	0.5	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0.75	0	0	0.25	0.3333333333333333	0.1111111111111111	0	0.4	0	0	0	0	0	0	0.3333333333333333	0	0	0	0	0	0	0	0	0.2857142857142857	0	0	0	0	0.5	0	0	0.7777777777777778	0.8333333333333334	0.8571428571428571	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0.6666666666666666	0.2	0	0.4	0	0	0	0	0.5	0	0	0	0.8	0.16666666666666666	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0.14285714285714285	0	0	0	0.6666666666666666	0	0.6	0.5	0	0	0	0	0	0	0	0	0	0.5	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.09090909090909093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16666666666666666	0	0	1	0.5714285714285714	0.8571428571428571	0	0.125	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0.25	0	0	0.16666666666666666	0	0	0
cobinning_long_C11F5OP_subsam_contigs.fasta_bin.11	33_1	cobinning_longitudinal	1	1	0.8571428571428571	0.7142857142857143	1	0	1	0	0.375	0.3333333333333333	0.4	0	0.2	0	1	0.7777777777777778	0.7142857142857143	1	0.75	0.6666666666666666	1	1	0.6666666666666666	0.5	0.5	1	0	1	0.6	0	0	0	0.4	0.375	0.5	0.16666666666666666	0	0	0.1	0	0	0	0	0	0	0	0.875	1	1	1	0.6666666666666666	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0.3333333333333333	0	0.5	0	0	0	0.3333333333333333	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14285714285714285	0.4	0	0	0	0	1	0.6	1	0	0.16666666666666666	1	0.6	0.5	0	0	0	0	0	0	0	0	0	0	0	0.6666666666666666	0	0	0	0	0	0	0	0.7272727272727273	0.5	0.8571428571428571	0	0.5	0	0.14285714285714285	0.25	0.4	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0.25	0	0	0.25	0.6666666666666666	0.1111111111111111	0	0.2	0.25	0	0.5	0	0.25	0	0.3333333333333333	0	0	0	0	0	0.07692307692307693	0	0	0.42857142857142855	0	0	0	0	0	1	0	0.6666666666666666	1	0.8571428571428571	0	0	0	0	0	0	0	0.6666666666666666	0	0	0	0	0	0	0	0	0	0	0	0	0.6666666666666666	0.2	0	0.4	0.5	0	0	0	0.5	0	0	0	0.8	0.5	0	0	0	0	0	1	0	0	0	0	0	0	0.5	0	0.2857142857142857	0	0	0	0.6666666666666666	0	0	0.75	0	0	0	0	0	0	0	0	0	0.5	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14285714285714285	0	0	0	0.2857142857142857	0.16666666666666666	0	0	1	0.5714285714285714	0.7142857142857143	0	0.125	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0.25	0	0.3333333333333333	0.5	0	0	0
cobinning_long_C11F5OP_subsam_contigs.fasta_bin.31	121_1	cobinning_longitudinal	0.8888888888888888	1	1	0.7142857142857143	1	0	1	0	0.25	0.3333333333333333	0.2	0	0.2	0.25	1	0.7777777777777778	0.8571428571428571	0.8	1	0.6666666666666666	1	1	0.3333333333333333	0.5	0.5	0.8333333333333334	0	1	0.6	0	0	0	0.4	0.375	0.75	0.16666666666666666	0	0	0.1	0	0	0	0	0	0	0	0.875	1	0.75	1	0.6666666666666666	0.375	0.07692307692307693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0.5	0	0	0	1	0	0.2857142857142857	0.875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14285714285714285	1	0	0	0.5	1	1	0.7	1	0.3333333333333333	0.16666666666666666	1	0	0.5	0	0.14285714285714285	0	0	0	1	0	0	0	0	0	1	0.5	0	0	0	0	0	0	0.7272727272727273	0.5	0.8571428571428571	0	0.5	0.25	0.14285714285714285	0.25	0.4	0	0	0.3333333333333333	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0.25	0	0	0.25	0.3333333333333333	0.2222222222222222	0	0.2	0	0	0.5	0.5	0.25	0.3333333333333333	0.3333333333333333	0	0	0	0	0	0.2307692307692308	0.07142857142857142	0	0.42857142857142855	0	0	0	0	0	1	0	0.6666666666666666	0.8333333333333334	1	0	0	0	0	0	0	0	0.6666666666666666	0	0	0	0	0	0	0	0	0.16666666666666666	0	0	0	0.6666666666666666	0.2	0	0.4	0.5	0	0	0	0.5	0	0	0.2	1	0.5	0.2	0	0	0	0.2	0.5	0	0	0.3333333333333333	0	0	0	0.3333333333333333	0	0.2857142857142857	0	0	0	0.6666666666666666	0	0	0.75	0	0	0	0	0	0	0	0	0	0.5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.09090909090909093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14285714285714285	0	0	0	1	0.5714285714285714	1	0	0.125	0.3333333333333333	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0.25	0	0.3333333333333333	0.5	0	0	0
cobinning_long_C11F5OP_subsam_contigs.fasta_bin.6	20_1	cobinning_longitudinal	0.8888888888888888	0.8	1	0.5714285714285714	1	0	0.75	0.25	0.5	0	0.8	0.2	0	0.125	1	0.6666666666666666	0.5714285714285714	0.8	1	0.6666666666666666	1	0.75	1	0.5	0.5	1	0	0.25	0.4	0.125	0	0.3333333333333333	0.2	0.25	0.25	0.3333333333333333	0	0	0.1	0	0	0	0	0	0	0	1	1	1	1	1	0.75	0	0	0	0	0	0.6666666666666666	0.8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3333333333333333	0.5	1	0	1	0	0	0.25	0	0	0	1	0	0.14285714285714285	0.875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2857142857142857	1	0.6666666666666666	0.1111111111111111	0	1	1	0.3	1	1	0.5	1	1	1	0	0.14285714285714285	0	0.25	0	0	0	0	0	0	0	0.6666666666666666	0.5	0	0	0	0	0	0	0.7272727272727273	0.5	0.8571428571428571	0.5	1	0.25	0.14285714285714285	0.5	0.6	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0.75	0	0	0.25	0.6666666666666666	0.4444444444444444	0	0.2	0	0	0.5	0.5	0.25	0.3333333333333333	0.3333333333333333	0	0	0	0	1	0.2307692307692308	0.07142857142857142	0	0.2857142857142857	0	0	0	0	0	1	0	0.5555555555555556	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.3333333333333333	0.2	0	0.4	0.5	0	0	0	0.16666666666666666	0	0	0	1	0.6666666666666666	0.8	0	0.2	0	0.8	0.5	0	0	0	0	0	0	0.5	0	0.2857142857142857	0	0	0	1	0	1	0.75	0	0	0	0	0	0	0.5	0.5	0	1	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0.09090909090909093	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42857142857142855	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.42857142857142855	0.2857142857142857	0	0.125	0.16666666666666666	0	0	0	0	0.5	0.6666666666666666	0	0	0	0	0	0	0.7777777777777778	0	0.125	0	0.3333333333333333	0.5	0	0	0
cobinning_long_C12F1OP_subsam_contigs.fasta_bin.5	127_1	cobinning_longitudinal	0.8888888888888888	0.8	1	0.7142857142857143	1	0.5	0.75	0.25	0.375	0.6666666666666666	0.2	0	0	0.125	1	0.6666666666666666	0.5714285714285714	0.6	1	0.3333333333333333	1	1	0.3333333333333333	0.5	0.5	0.8333333333333334	0	1	0.6	0	0	0	0.2	0.375	0.75	0.16666666666666666	0	0	0.1	0	0	0	0	0	0	0	1	0.75	0.75	1	0.6666666666666666	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0.25	0	0	0	0.3333333333333333	0	0.14285714285714285	0.75	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.2857142857142857	0.4	0	0	0	0	1	0.3	0	0.3333333333333333	0.16666666666666666	0.3333333333333333	0.8	0	0	0	0	0	0	1	0	0	0	0	0	1	0.5	0	0	0	0	0	0	0.7272727272727273	0.5	0.8571428571428571	0	0.5	0.25	0.14285714285714285	0.25	0.4	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0.25	0	0	0.25	1	0.3333333333333333	0	0.2	0	0	0	0	0	0	0.3333333333333333	0	0	0	0	0	0.2307692307692308	0.07142857142857142	0	0.42857142857142855	0	0	0	0	0	1	0	0.5555555555555556	0.6666666666666666	0.8571428571428571	0	0	0	0	0	0	0	0.6666666666666666	0	0	0	0	0	0	0	0	0.16666666666666666	0	0	0	0.6666666666666666	0.8	0	0.4	0.5	0	0	0	0.5	0	0	0.2	1	0.5	0.2	0	0	0	0.2	1	0.5	0	0	0	0	0	0.3333333333333333	0	0.2857142857142857	0	0	0	0.6666666666666666	0	0	0.75	0	0	0	0	0	0	0	0	0	0.5	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.09090909090909093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14285714285714285	0.5	0.3333333333333333	0.3333333333333333	1	0.5714285714285714	0.42857142857142855	0	0.125	0.16666666666666666	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0.125	0	0.3333333333333333	0.5	0	0	0
